record_id,node_id,source_platform,publish_time,post_title,post_tag,raw_text,source_url,user_id,case_note
c1,ID_8b33ff6e-f777-4834-9a8f-a158c9ec61b5,NGA,2026-03-23T10:22:00,2.7剧情讨论串,"2.7剧情,玲可",玲可戏份少，过了雅利洛6号就没了，她强度也太弱了。,https://example.com/p1,u001,正文即可支持剧情与强度双标签；标题标签只能作弱语境补充。
c2,ID_cf3a53ca-856e-45eb-936e-94e7e37fce8b,Bilibili,2026-03-23T11:05:00,翁法罗斯开荒体验,"地图,探索,箱庭",新地图探索很好，奖励也不错，就是解谜有点重复。,https://example.com/p2,u002,正文主导地图探索体验判别，展示同一主题下的正负混合表达。
c3,ID_10840ed5-c3d6-4839-a10f-e845a86ab3df,Weibo,2026-03-23T12:40:00,公告评论区,"公告,运营反馈",这次回应很快，至少不是继续装死。,https://example.com/p3,u003,正文主导运营沟通标签判断，展示一句话内的对比式态度。
c4,ID_241cbb1e-7c83-47b3-a096-18360217738c,Xiaohongshu,2026-03-23T13:10:00,版本活动吐槽,"活动,小游戏",活动好玩，有创意，但后面有点换皮。,https://example.com/p4,u004,正文主导活动玩法趣味性标签；验证边界切分与同标签内正负共存。
c5,ID_603f71c2-9e7f-4cdf-8a7b-b3f590ee3492,Tieba,2026-03-23T13:50:00,角色毕业成本讨论,"养成,配装",遗器系统真的受苦，歪词条，筛选也难用。,https://example.com/p5,u005,正文主导遗器系统体验标签；标题标签不等于最终标签。
c6,ID_67cc1f02-cada-4589-b952-9f22a9f2e777,Forum,2026-03-23T14:20:00,3.2前瞻直播兑换码汇总,"版本爆料,兑换码,福利",加微wx:abc888 获取充值返利 https://spam.example.com,https://example.com/p6,u006,展示数据清洗能力；标题标签与正文张冠李戴，不应把垃圾广告误判成福利反馈。
c7,ID_ad430a1e-3667-419a-94b2-bfa79437afdb,NGA,2026-03-23T10:23:00,2.7剧情讨论串,"2.7剧情,玲可",玲可戏份少，过了雅利洛6号就没了，她强度也太弱了!!!,https://example.com/p7,u001,展示近重复合并能力；不应因标点差异生成重复有效样本。
c8,ID_d171f114-ba74-49b4-9c9d-1494b38fe251,Bilibili,2026-03-23T15:10:00,翁法罗斯开荒体验,"地图,探索,箱庭",这个是真不错。,https://example.com/p8,u008,短文本案例；只有在正文信息不足时，标题标签才允许补充推理。
c9,ID_be06c613-09c2-492a-b030-baf5642175ab,Weibo,2026-03-23T16:00:00,3.2前瞻兑换码+卡池顺序,"版本爆料,福利,卡池",看不懂在吹什么。,https://example.com/p9,u009,正文弱且态度笼统；即便有强标题标签，也不应强行打到福利或公告主题。
c10,ID_20b2653a-88dc-41f0-aa5a-edf12bf8538b,NGA,2026-03-23T16:30:00,花火写得好的不只我一个人觉得吧,"花火,剧情",花火的故事线写得很完整，从头到尾能看到她的成长，弧光很好。,https://example.com/p10,u010,覆盖A2角色弧光完整性标签；纯正面评价案例。
c11,ID_e7039f66-78bf-448e-ba53-c0712de9b1c4,Bilibili,2026-03-23T16:45:00,有人跟我一样觉得主线太长了吗,"剧情,版本更新",主线拖沓，信息量大但推进太慢，注水严重。,https://example.com/p11,u011,覆盖A5叙事节奏标签；多个锚点词同时命中的负面案例。
c12,ID_241cbb1e-7c83-47b3-a096-18360217738c,NGA,2026-03-23T17:00:00,那段CG绝了！！,"剧情,CG,演出", performer炸裂，镜头好，氛围感强，但配音有一点出戏。,https://example.com/p12,u012,覆盖A7叙事演出与F3音乐音效的跨维度边界；正文内自然切分为视觉正面+音频负面。
c13,ID_4e7fee37-274c-4a4a-9a17-feffd15fe5ec,Weibo,2026-03-23T17:15:00,新角色也太好看了叭,"流萤,立绘",立绘好看，建模也精致，颜值高，但动作有点僵。,https://example.com/p13,u013,覆盖B1角色外观与F2建模标签的边界区分；同时测试正负混合。
c14,ID_a192c408-ef74-436d-a19f-32c7d9a45345,Tieba,2026-03-23T17:30:00,简单聊聊新角色手感,"砂金,配队",机制好玩，很有创意，手感不错，不过同质化问题还是有。,https://example.com/p14,u014,覆盖B3机制趣味性标签；正文含正面与负面评价交叉。
c15,ID_3df2c1ac-7975-4681-a10b-987423cd82d9,NGA,2026-03-23T17:45:00,就我觉得这角色放在这不对劲吗,"星期日,设定,世界观",这个角色有违和感，不搭世界观，设定太突兀了。,https://example.com/p15,u015,覆盖B5与世界观契合度标签；展示负面判别。
